URL in opinion,Timetravel URL,Rot,Archive,Archive Source,CL address,Case name,Date opinion was filed,Opinion download URL,Citation count,CL ID,Link rot,Ref rot,IP owner handle,IP owner name,HTTP status code
http://www2.fdic.gov/idasp/main.asp,http://timetravel.mementoweb.org/list/20060117151530/http://www2.fdic.gov/idasp/main.asp,,1,"IA, National Archives and Records Administration, archive-it",http://courtlistener.org/opinion/145692/wachovia-bank-na-v-schmidt/,"Wachovia Bank, NA v. Schmidt",1/17/06,http://www.supremecourt.gov/opinions/05pdf/04-1186.pdf,74,145692,0,0,FDIC,Federal Deposit Insurance Corporation,200
http://pe.usps.gov/text/dmm300/609.htm,http://timetravel.mementoweb.org/list/20060222151530/http://pe.usps.gov/text/dmm300/609.htm,,1,IA,http://courtlistener.org/opinion/145678/dolan-v-postal-service/,Dolan v. Postal Service,2/22/06,http://www.supremecourt.gov/opinions/05pdf/04-848.pdf,114,145678,0,0,QCC-18,"Qwest Communications Company, LLC",Unable to get response code
http://www.usdoj.gov/atr/public/guidelines/0558.pdf,http://timetravel.mementoweb.org/list/20060301151530/http://www.usdoj.gov/atr/public/guidelines/0558.pdf,,1,"IA, archive-it",http://courtlistener.org/opinion/145673/illinois-tool-works-inc-v-independent-ink-inc/,"Illinois Tool Works Inc. v. Independent Ink, Inc.",3/1/06,http://www.supremecourt.gov/opinions/05pdf/04-1329.pdf,34,145673,0,0,UDJ,US Dept of Justice,200
http://ag.ca.gov/cjsc/publications/misc/dvsr/tabs/8703.pdf,http://timetravel.mementoweb.org/list/20060322151530/http://ag.ca.gov/cjsc/publications/misc/dvsr/tabs/8703.pdf,,0,,http://courtlistener.org/opinion/145669/georgia-v-randolph/,Georgia v. Randolph,3/22/06,http://www.supremecourt.gov/opinions/05pdf/04-1067.pdf,317,145669,0,s404,CDJ-1-Z,California Department of Justice,404
http://www.nalc.org/depart/can/pdf/manuals/pom/pomc8.pdf,http://timetravel.mementoweb.org/list/20060426151530/http://www.nalc.org/depart/can/pdf/manuals/pom/pomc8.pdf,,0,,http://courtlistener.org/opinion/145663/jones-v-flowers/,Jones v. Flowers,4/26/06,http://www.supremecourt.gov/opinions/05pdf/04-1477.pdf,162,145663,0,s404,LIGHT262,Lightcrest LLC,404
http://pe.usps.gov/text/dmm300/507.htm,http://timetravel.mementoweb.org/list/20060426151530/http://pe.usps.gov/text/dmm300/507.htm,,1,IA,http://courtlistener.org/opinion/145663/jones-v-flowers/,Jones v. Flowers,4/26/06,http://www.supremecourt.gov/opinions/05pdf/04-1477.pdf,162,145663,0,0,QCC-18,"Qwest Communications Company, LLC",Unable to get response code
https://www.lexis,http://timetravel.mementoweb.org/list/20060501151530/https://www.lexis.,,,"***Not actual link, just instructions for navigating Lexis?",http://courtlistener.org/opinion/145661/arkansas-dept-of-health-and-human-servs-v-ahlborn/,Arkansas Dept. of Health and Human Servs. v. Ahlborn,5/1/06,http://www.supremecourt.gov/opinions/05pdf/04-1506.pdf,63,145661,,,Couldn't find IP owner's handle.,Couldn't find IP owner's name.,Unable to get response code
http://www.ftc.gov/os/2003/10/innovationrpt.pdf,http://timetravel.mementoweb.org/list/20060515151530/http://www.ftc.gov/os/2003/10/innovationrpt.pdf,,1,"IA, National Archives and Records Administration, archive-it",http://courtlistener.org/opinion/145655/ebay-inc-v-mercexchange-ll/,"eBay Inc. v. MERCEXCHANGE, LL",5/15/06,http://www.supremecourt.gov/opinions/05pdf/05-130.pdf,358,145655,0,0,AKAMAI,"Akamai Technologies, Inc.",200
http://www.epa.gov/ogc/documents/water_transfers.pdf,http://timetravel.mementoweb.org/list/20060515151530/http://www.epa.gov/ogc/documents/water_transfers.pdf,,1,"IA, archive-it, Stanford Web Archive",http://courtlistener.org/opinion/145656/sd-warren-co-v-maine-bd-of-environmental-protectio/,SD Warren Co. v. Maine Bd. of Environmental Protection,5/15/06,http://www.supremecourt.gov/opinions/05pdf/04-1527.pdf,31,145656,0,0,UEPA,U.S. Environmental Protection Agency,200
http://www.legislature.state.oh.us/BillText126/126_HB_66_EN2d.pdf,http://timetravel.mementoweb.org/list/20060515151530/http://www.legislature.state.oh.us/BillText126/126_HB_66_EN2d.pdf,,1,IA,http://courtlistener.org/opinion/145658/daimlerchrysler-corp-v-cuno/,DaimlerChrysler Corp. v. Cuno,5/15/06,http://www.supremecourt.gov/opinions/05pdf/04-1704.pdf,223,145658,1,0,STOH,Department of Administrative Services,404
http://www.legislature.state.oh.us/BillText124/124_HB_94_ENR.pdf,http://timetravel.mementoweb.org/list/20060515151530/http://www.legislature.state.oh.us/BillText124/124_HB_94_ENR.pdf,,1,IA,http://courtlistener.org/opinion/145658/daimlerchrysler-corp-v-cuno/,DaimlerChrysler Corp. v. Cuno,5/15/06,http://www.supremecourt.gov/opinions/05pdf/04-1704.pdf,223,145658,1,0,STOH,Department of Administrative Services,404
http://www.legislature.state.oh.us/BillText125/125_HB_95_EN2_N.pdf,http://timetravel.mementoweb.org/list/20060515151530/http://www.legislature.state.oh.us/BillText125/125_HB_95_EN2_N.pdf,,0,,http://courtlistener.org/opinion/145658/daimlerchrysler-corp-v-cuno/,DaimlerChrysler Corp. v. Cuno,5/15/06,http://www.supremecourt.gov/opinions/05pdf/04-1704.pdf,223,145658,1,0,STOH,Department of Administrative Services,404
http://da.co.la.ca.us/hr/default.htm,http://timetravel.mementoweb.org/list/20060530151530/http://da.co.la.ca.us/hr/default.htm,,1,IA,http://courtlistener.org/opinion/145653/garcetti-v-ceballos/,Garcetti v. Ceballos,5/30/06,http://www.supremecourt.gov/opinions/05pdf/04-473.pdf,595,145653,0,1,CLA-6-Z,County of Los Angeles,200
http://www.fda.gov/cder/career/default.htm,http://timetravel.mementoweb.org/list/20060530151530/http://www.fda.gov/cder/career/default.htm,,1,"IA, National Archives and Records Administration",http://courtlistener.org/opinion/145653/garcetti-v-ceballos/,Garcetti v. Ceballos,5/30/06,http://www.supremecourt.gov/opinions/05pdf/04-473.pdf,595,145653,0,s404,QCC-18,"Qwest Communications Company, LLC",404
http://www.opm.gov/insure/carriers/samplecontract.doc,http://timetravel.mementoweb.org/list/20060615151530/http://www.opm.gov/insure/carriers/samplecontract.doc,,1,"IA, National Archives and Records Administration",http://courtlistener.org/opinion/145643/empire-healthchoice-assurance-inc-v-mcveigh/,"Empire Healthchoice Assurance, Inc. v. McVeigh",6/15/06,http://www.supremecourt.gov/opinions/05pdf/05-200.pdf,116,145643,0,s404,AKAMAI,"Akamai Technologies, Inc.",200
http://www.dol.gov/esa/regs/statutes/owcp/stwclaw/tables-pdf/table1.pdf,http://timetravel.mementoweb.org/list/20060615151530/http://www.dol.gov/esa/regs/statutes/owcp/stwclaw/tables-pdf/table1.pdf,,1,IA,http://courtlistener.org/opinion/145644/howard-delivery-service-inc-v-zurich-american-ins-/,"Howard Delivery Service, Inc. v. Zurich American Ins. Co.",6/15/06,http://www.supremecourt.gov/opinions/05pdf/05-128.pdf,34,145644,0,s404,AKAMAI,"Akamai Technologies, Inc.",404
http://www.cato.org/pub_display.php?pub_id=6344,http://timetravel.mementoweb.org/list/20060615151530/http://www.cato.org/pub_display.php?pub_id=6344,,1,"IA, archive.today",http://courtlistener.org/opinion/145646/hudson-v-michigan/,Hudson v. Michigan,6/15/06,http://www.supremecourt.gov/opinions/05pdf/04-1360.pdf,265,145646,0,0,Couldn't find IP owner's handle.,Couldn't find IP owner's name.,200
http://www.ucop.edu/cprc/parole.pdf,http://timetravel.mementoweb.org/list/20060619151530/http://www.ucop.edu/cprc/parole.pdf,,1,IA,http://courtlistener.org/opinion/145640/samson-v-california/,Samson v. California,6/19/06,http://www.supremecourt.gov/opinions/05pdf/04-9728.pdf,187,145640,0,s404,UCOP,University of California - Office of the President,404
http://www.gao.gov/new.items/d04297.pdf,http://timetravel.mementoweb.org/list/20060619151530/http://www.gao.gov/new.items/d04297.pdf,,1,"IA, National Archives and Records Administration, archive-it, Stanford Web Archive",http://courtlistener.org/opinion/145642/rapanos-v-united-states/,Rapanos v. United States,6/19/06,http://www.supremecourt.gov/opinions/05pdf/04-1034.pdf,91,145642,0,0,UGAO,U.S. Government Accountability Office,200
http://govinfo.library.unt.edu/ota/Ota_4/DATA/1984/8433.PDF,http://timetravel.mementoweb.org/list/20060619151530/http://govinfo.library.unt.edu/ota/Ota_4/DATA/1984/8433.PDF,,1,IA,http://courtlistener.org/opinion/145642/rapanos-v-united-states/,Rapanos v. United States,6/19/06,http://www.supremecourt.gov/opinions/05pdf/04-1034.pdf,91,145642,0,0,UNT,University of North Texas,200
