URL in opinion,CL ID,Case name,CL address,Date opinion was filed,Opinion download URL,Citation count
http://www.hrsa.gov/womensguidelines/,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
http://www.forbes.com/largest-private-companies/.,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
http://www.webmd.com/sex/birth-control/news/20100813/new-morning-after-pill-ella-wins-fda-approval.14,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
http://hrsa.gov/womensguidelines,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
http://www.benefitcorp.net/state-by-state-legislative-status;,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
http://www.mennoniteusa.org,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
http://www.lc.org/media/9980/attachments/memo_vaccination.pdf.,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
http://www.fda.gov/forconsumers/byaudience/forwomen/freepublications/ucm313215.htm.,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
http://www.dhs.state.il.us/OneNetLibrary/27897/documents/Brochures/4365.pdf,2681318,Harris v. Quinn,http://courtlistener.org/opinion/2681318/harris-v-quinn/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/11-681_j426.pdf,2
http://www.nasbo.org.,2681318,Harris v. Quinn,http://courtlistener.org/opinion/2681318/harris-v-quinn/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/11-681_j426.pdf,2
